date,time,localCurrentTemperature,localCurrentApparentTemperature,LocalForecastedTemperature_3,LocalForecastedApparentTemperature_3,LocalForecastedTemperature_6,LocalForecastedApparentTemperature_6,localCurrentHumidity,LocalForecastedHumidity_3,LocalForecastedHumidity_6,LocalCurrent_Cloudiness,LocalForecastedCloudiness_3,LocalForecastedCloudiness_6,localCurrentUVIndex,LocalCurrent_Rain,LocalForecastedRain_3,LocalForecastedRain_6,LocalCurrent_Snow,LocalForecastedSnow_3,LocalForecastedSnow_6,SensorTemperature,SensorRelativeHumidity,SensorUltraviolet,SensorLuminance,MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1,Multisensor_outside_SensorTemperature,Multisensor_outside_SensorRelativeHumidity,Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance,Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature,sensor2_temperature,sensor3_temperature,sensor4_temperature,sensor5_temperature,sensor1_humidity,sensor2_humidity,sensor3_humidity,sensor4_humidity,sensor5_humidity,Enocean_Temperature_1,Enocean_Humidity_1,Brightness_sensor_temperature_1,Brightness_Sensor_Temperature_2,Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1,Brightness_Sensor_Battery_2,Socket_Energy_1,Socket_Energy_2,Socket_Power_1,Socket_Power_2,Socket_Switch_1,Socket_Switch_2,Socket_Energy_3,Socket_Energy_4,Socket_Power_3,Socket_Power_4,Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1,Luminance_Sensor_Luminance_2,Luminance_Sensor_Battery_1,Luminance_Sensor_Battery_2,Rain_Sensor_Precipitation_1,Rain_Sensor_Water_Meter_1,Rain_Sensor_Battery_1,AIR_Quality_Sensor_CO2_2,AIR_Quality_Sensor_Dew_point_2,AIR_Quality_Sensor_Humidity_2,AIR_Quality_Sensor_Temperature_2,AIR_Quality_Sensor_VOC_2,AirQualitySensor_SensorTemperature,AirQualitySensor_SensorRelativeHumidity,AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND,AirQualitySensor_SensorDewPoint,AirQualitySensor_SensorCO2,Weather_Station_Air_Pressure_1,Weather_Station_Dew_Point_1,Weather_Station_Electricity_meter_1,Weather_Station_Heat_meter_1,Weather_Station_Humidity_1,Weather_Station_Luminance_1,Weather_Station_Temperature_1,Weather_Station_Wind_Speed_1,Rain_Sensor_Precipitation_2,Rain_Sensor_Water_Meter_2,Rain_Sensor_Battery_2,Temperature_25,Temperature_26,Temperature_27,Weather_Station_Air_Pressure_2,Weather_Station_Dew_Point_2,Weather_Station_Electricity_meter_2,Weather_Station_Heat_meter_2,Weather_Station_Humidity_2,Weather_Station_Luminance_2,Weather_Station_Temperature_2,Weather_Station_Wind_Speed_2,wind_sensor_power,wind_sensor_energy
2021-09-06,00:05:34,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,32.1,42,7.441,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:06:04,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,32.1,42,7.441,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:06:34,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,31.9,42,7.194,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:07:04,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,31.9,42,7.194,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:07:34,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,31.9,42,7.194,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:08:04,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,31.9,42,7.194,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:08:34,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,31.9,42,7.194,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:09:04,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,31.9,42,7.194,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:09:50,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,31.9,42,7.194,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:10:20,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,31.9,42,7.194,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:10:50,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,31.9,42,7.194,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:11:20,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.009,31.9,42,7.194,17.7,779,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:11:50,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.01,31.9,42,0.753,17.7,753,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:12:20,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.01,31.9,42,0.753,17.7,753,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:12:50,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,14,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.01,31.9,42,0.753,17.7,753,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:13:20,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,13,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.01,31.9,42,0.753,17.7,753,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:13:50,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,13,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.01,31.9,42,0.753,17.7,753,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.89,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:14:20,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,13,79,30.5,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.01,31.9,42,0.753,17.7,753,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.38,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:14:50,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,13,79,30,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.01,31.9,42,0.753,17.7,753,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.38,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:15:20,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,13,79,30,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.01,31.9,42,0.753,17.7,753,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.38,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
2021-09-06,00:15:50,13.99,13.69,13.59,13.25,12.5,12.02,86,86,85,18,20,8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,23.6,53,0,125,ON,OFF,ON,0,34.2,30,0,13492,OFF,OFF,29.4,29.5,14.96,29.4,17.27,9.0,6.0,88.94,38.0,72.18,13,79,30,16.5,4,1,OFF,OFF,100,100,6.17,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,72,586,12.6,69,18.2,0.01,31.9,42,0.753,17.7,753,96.4,12.6,63.71679,384866,71,21,18,3,0,0.492,75,31.73,39.38,32.65,96.3,20.9,1.24446,9,41,0,32.3,0,0,0
