date,time,localCurrentTemperature,localCurrentApparentTemperature,LocalForecastedTemperature_3,LocalForecastedApparentTemperature_3,LocalForecastedTemperature_6,LocalForecastedApparentTemperature_6,localCurrentHumidity,LocalForecastedHumidity_3,LocalForecastedHumidity_6,LocalCurrent_Cloudiness,LocalForecastedCloudiness_3,LocalForecastedCloudiness_6,localCurrentUVIndex,LocalCurrent_Rain,LocalForecastedRain_3,LocalForecastedRain_6,LocalCurrent_Snow,LocalForecastedSnow_3,LocalForecastedSnow_6,SensorTemperature,SensorRelativeHumidity,SensorUltraviolet,SensorLuminance,MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1,Multisensor_outside_SensorTemperature,Multisensor_outside_SensorRelativeHumidity,Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance,Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature,sensor2_temperature,sensor3_temperature,sensor4_temperature,sensor5_temperature,sensor1_humidity,sensor2_humidity,sensor3_humidity,sensor4_humidity,sensor5_humidity,Enocean_Temperature_1,Enocean_Humidity_1,Brightness_sensor_temperature_1,Brightness_Sensor_Temperature_2,Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1,Brightness_Sensor_Battery_2,Socket_Energy_1,Socket_Energy_2,Socket_Power_1,Socket_Power_2,Socket_Switch_1,Socket_Switch_2,Socket_Energy_3,Socket_Energy_4,Socket_Power_3,Socket_Power_4,Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1,Luminance_Sensor_Luminance_2,Luminance_Sensor_Battery_1,Luminance_Sensor_Battery_2,Rain_Sensor_Precipitation_1,Rain_Sensor_Water_Meter_1,Rain_Sensor_Battery_1,AIR_Quality_Sensor_CO2_2,AIR_Quality_Sensor_Dew_point_2,AIR_Quality_Sensor_Humidity_2,AIR_Quality_Sensor_Temperature_2,AIR_Quality_Sensor_VOC_2,AirQualitySensor_SensorTemperature,AirQualitySensor_SensorRelativeHumidity,AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND,AirQualitySensor_SensorDewPoint,AirQualitySensor_SensorCO2,Weather_Station_Air_Pressure_1,Weather_Station_Dew_Point_1,Weather_Station_Electricity_meter_1,Weather_Station_Heat_meter_1,Weather_Station_Humidity_1,Weather_Station_Luminance_1,Weather_Station_Temperature_1,Weather_Station_Wind_Speed_1,Rain_Sensor_Precipitation_2,Rain_Sensor_Water_Meter_2,Rain_Sensor_Battery_2,Temperature_25,Temperature_26,Temperature_27,Weather_Station_Air_Pressure_2,Weather_Station_Dew_Point_2,Weather_Station_Electricity_meter_2,Weather_Station_Heat_meter_2,Weather_Station_Humidity_2,Weather_Station_Luminance_2,Weather_Station_Temperature_2,Weather_Station_Wind_Speed_2,wind_sensor_power,wind_sensor_energy
2021-08-04,16:52:28,18.37,17.96,18.37,17.96,17.29,16.95,65,65,72,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,46,0,64,OFF,OFF,ON,0,27.1,40,0,6255,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:52:58,18.37,17.96,18.37,17.96,17.29,16.95,65,65,72,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,46,0,64,ON,OFF,ON,0,27.1,40,0,6269,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:53:28,18.37,17.96,18.37,17.96,17.29,16.95,65,65,72,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,46,0,64,OFF,OFF,ON,0,27.1,41,0,6283,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:53:58,18.37,17.96,18.37,17.96,17.29,16.95,65,65,72,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,46,0,65,OFF,OFF,ON,0,27.2,41,0,6301,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:54:28,18.37,17.96,18.37,17.96,17.29,16.95,65,65,72,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,46,0,65,OFF,OFF,ON,0,27.1,41,0,6353,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:54:57,18.37,17.96,18.37,17.96,17.29,16.95,65,65,72,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,46,0,66,ON,OFF,ON,0,27.1,41,0,6402,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:55:27,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,46,0,66,OFF,OFF,ON,0,27.2,41,0,6481,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:55:57,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,71,OFF,OFF,ON,0,27.2,41,0,6558,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:56:27,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,71,OFF,OFF,ON,0,27.2,41,0,6580,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:56:57,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,69,OFF,OFF,ON,0,27.2,41,0,6600,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:57:27,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,69,ON,OFF,ON,0,27.2,41,0,6653,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,66,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:57:56,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,72,ON,OFF,ON,0,27.2,41,0,6673,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,66,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:58:26,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,72,OFF,OFF,ON,0,27.2,41,0,6703,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,66,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:58:56,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,68,OFF,OFF,ON,0,27.3,41,0,6753,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,66,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:59:26,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,68,ON,OFF,ON,0,27.3,41,0,6810,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,66,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,16:59:56,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,69,ON,OFF,ON,0,27.3,41,0,6861,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,66,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,17:00:26,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,69,OFF,OFF,ON,0,27.3,41,0,6936,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,66,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,17:00:56,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,71,OFF,OFF,ON,0,27.4,41,0,6998,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,66,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,17:01:25,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.8,45,0,71,ON,OFF,ON,0,27.4,40,0,7048,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,66,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
2021-08-04,17:01:55,18.25,18.09,18.25,18.09,17.21,17.02,75,75,78,75,75,83,5.93,0.0,0.3466666666666667,0.22666666666666668,0.0,0.0,0.0,25.9,45,0,72,OFF,OFF,ON,0,27.4,40,0,7065,OFF,OFF,29.4,29.5,13.31,29.4,13.64,9.0,6.0,69.17,38.0,60.85,13,89,19,15,3,5,OFF,OFF,100,100,4.936,1.247,1,0,ON,OFF,0.765,4.355,0,0.0,OFF,ON,66,0,100,100,0,0.134,70,660,12.4,89,14.2,0.001,21.7,45,0.001,9.2,431,95.1,10.7,34.37295,160213,53,21,21.6,4,0,0.3495,74,20.45,28.61,20.63,95.4,8.5,14.52021,24,50,37,19.3,0,0,0
