date,time,localCurrentTemperature (°C),localCurrentApparentTemperature (°C),LocalForecastedTemperature_3 (°C),LocalForecastedApparentTemperature_3 (°C),LocalForecastedTemperature_6 (°C),LocalForecastedApparentTemperature_6 (°C),localCurrentHumidity (%),LocalForecastedHumidity_3 (%),LocalForecastedHumidity_6 (%),LocalCurrent_Cloudiness (%),LocalForecastedCloudiness_3 (%),LocalForecastedCloudiness_6 (%),localCurrentUVIndex,LocalCurrent_Rain (mm),LocalForecastedRain_3 (mm),LocalForecastedRain_6 (mm),LocalCurrent_Snow (mm),LocalForecastedSnow_3 (mm),LocalForecastedSnow_6 (mm),SensorTemperature (°C),SensorRelativeHumidity (%),SensorUltraviolet,SensorLuminance (Lux),MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1 (W),Multisensor_outside_SensorTemperature (°C),Multisensor_outside_SensorRelativeHumidity (%),Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance(Lux),Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature (°C),sensor2_temperature (°C),sensor3_temperature (°C),sensor4_temperature (°C),sensor5_temperature (°C),sensor1_humidity (%),sensor2_humidity (%),sensor3_humidity (%),sensor4_humidity (%),sensor5_humidity (%),Enocean_Temperature_1 (°C),Enocean_Humidity_1 (%),Brightness_sensor_temperature_1 (°C),Brightness_Sensor_Temperature_2 (°C),Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1 (%),Brightness_Sensor_Battery_2 (%),Socket_Energy_1(W h),Socket_Energy_2 (W h),Socket_Power_1 (W),Socket_Power_2 (W),Socket_Switch_1,Socket_Switch_2,Socket_Energy_3 (W h),Socket_Energy_4 (W h),Socket_Power_3 (W),Socket_Power_4 (W),Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1 (Lux),Luminance_Sensor_Luminance_2 (Lux),Luminance_Sensor_Battery_1 (%),Luminance_Sensor_Battery_2 (%),Rain_Sensor_Precipitation_1 (mm),Rain_Sensor_Water_Meter_1 (m³),Rain_Sensor_Battery_1 (%),AIR_Quality_Sensor_CO2_2 (ppm),AIR_Quality_Sensor_Dew_point_2(°C),AIR_Quality_Sensor_Humidity_2 (%),AIR_Quality_Sensor_Temperature_2 (°C),AIR_Quality_Sensor_VOC_2 (ppm),AirQualitySensor_SensorTemperature (°C),AirQualitySensor_SensorRelativeHumidity (%),AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND (ppm),AirQualitySensor_SensorDewPoint (°C) ,AirQualitySensor_SensorCO2 (ppm),Weather_Station_Air_Pressure_1 (mBar) ,Weather_Station_Dew_Point_1 (°C),Weather_Station_Electricity_meter_1 (W),Weather_Station_Heat_meter_1,Weather_Station_Humidity_1 (%),Weather_Station_Luminance_1 (Lux),Weather_Station_Temperature_1 (°C),Weather_Station_Wind_Speed_1 (m/s),Rain_Sensor_Precipitation_2 (mm),Rain_Sensor_Water_Meter_2 (m³),Rain_Sensor_Battery_2 (%),Temperature_25 (°C),Temperature_26 (°C),Temperature_27 (°C),Weather_Station_Air_Pressure_2 (mBar),Weather_Station_Dew_Point_2 (°C),Weather_Station_Electricity_meter_2 (W),Weather_Station_Heat_meter_2,Weather_Station_Humidity_2 (%),Weather_Station_Luminance_2 (Lux),Weather_Station_Temperature_2 (°C),Weather_Station_Wind_Speed_2 (m/s),wind_sensor_power (W),wind_sensor_energy (W h),Window_opening_power (W),Window_opening_energy (W h),Slats_angle_power (W),Slats_angle_energy (W h),Window_blinds_power (W),Window_blinds_energy (W h),Weather_Station_Air_Pressure_3 (mBar),Weather_Station_Dew_Point_3 (°C),Weather_Station_Electricity_meter_3 (W),Weather_Station_Heat_meter_3,Weather_Station_Humidity_3 (%),Weather_Station_Luminance_3 (Lux),Weather_Station_Temperature_3 (°C),Weather_Station_Wind_Speed_3 (m/s),AIR_Quality_Sensor_CO2_3 (ppm),AIR_Quality_Sensor_Dew_point_3 (°C),AIR_Quality_Sensor_Humidity_3 (%),AIR_Quality_Sensor_Temperature_3 (°C),AIR_Quality_Sensor_VOC_3 (ppm),AIR_Quality_Sensor_CO2_4 (ppm),AIR_Quality_Sensor_Dew_point_4 (°C),AIR_Quality_Sensor_Humidity_4 (%),AIR_Quality_Sensor_Temperature_4 (°C),AIR_Quality_Sensor_VOC_4 (ppm),AIR_Quality_Sensor_CO2_5 (ppm),AIR_Quality_Sensor_Dew_point_5 (°C),AIR_Quality_Sensor_Humidity_5 (%),AIR_Quality_Sensor_Temperature_5 (°C),AIR_Quality_Sensor_VOC_5 (ppm)
2021-10-03,00:00:29,13.55,12.74,12.92,12.17,11.58,10.78,68,73,76,88,87,91,2.54,0.0,0.0,0.0,0.0,0.0,0.0,22.4,43,0,0,OFF,OFF,ON,0,13.4,78,0,0,OFF,ON,29.4,29.5,14.41,29.4,15.62,9.0,6.0,74.3,38.0,66.95,14,65,19,16,3,1,OFF,OFF,100,100,7.187,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,409,8.2,60,16,3.874,19.1,46,3.874,7.2,426,95.2,7.3,82.13259,535468,63,0,14.4,9,0,0.5305,72,20.11,28.14,21.15,95.3,7.5,1.04493,0,46,0,19.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95.3,6.4,26.53155,26515,69,0,14.5,6,400,7.5,58,15.8,3.874,418,7.4,58,15.7,3.874,419,7.2,52,17.1,3.874
2021-10-03,00:01:00,13.55,12.74,12.92,12.17,11.58,10.78,68,73,76,88,87,91,2.54,0.0,0.0,0.0,0.0,0.0,0.0,22.4,43,0,0,OFF,OFF,ON,0,13.3,78,0,0,OFF,OFF,29.4,29.5,14.41,29.4,15.62,9.0,6.0,74.3,38.0,66.95,14,65,19,16,3,1,OFF,OFF,100,100,7.187,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,409,8.2,60,16,3.874,19.1,46,3.874,7.2,426,95.2,7.1,82.13259,535468,62,0,14.4,6,0,0.5305,72,20.11,28.14,21.15,95.3,7.5,1.04493,0,46,0,19.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95.3,6.4,26.53155,26515,69,0,14.5,6,400,7.5,58,15.8,3.874,418,7.4,58,15.7,3.874,419,7.2,52,17.1,3.874
2021-10-03,00:01:30,13.55,12.74,12.92,12.17,11.58,10.78,68,73,76,88,87,91,2.54,0.0,0.0,0.0,0.0,0.0,0.0,22.4,43,0,0,OFF,OFF,ON,0,13.3,78,0,0,OFF,OFF,29.4,29.5,14.41,29.4,15.62,9.0,6.0,74.3,38.0,66.95,14,65,19,16,3,1,OFF,OFF,100,100,7.187,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,409,8.2,60,16,3.874,19.1,46,3.874,7.2,426,95.2,7.1,82.13259,535468,62,0,14.4,6,0,0.5305,72,20.11,28.14,21.15,95.3,7.5,1.04493,0,46,0,19.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95.3,6.4,26.53155,26515,69,0,14.5,6,400,7.5,58,15.8,3.874,418,7.4,58,15.7,3.874,419,7.2,52,17.1,3.874
2021-10-03,00:02:00,13.55,12.74,12.92,12.17,11.58,10.78,68,73,76,88,87,91,2.54,0.0,0.0,0.0,0.0,0.0,0.0,22.4,43,0,0,OFF,OFF,ON,0,13.3,78,0,0,OFF,ON,29.4,29.5,14.41,29.4,15.62,9.0,6.0,74.3,38.0,66.95,14,65,19,16,3,1,OFF,OFF,100,100,7.187,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,409,8.2,60,16,3.874,19.1,46,3.874,7.2,426,95.2,7.1,82.13259,535468,62,0,14.4,6,0,0.5305,72,20.11,28.14,21.15,95.3,7.5,1.04493,0,46,0,19.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95.3,6.4,26.53155,26515,69,0,14.5,6,400,7.5,58,15.8,3.874,418,7.4,58,15.7,3.874,419,7.2,52,17.1,3.874
2021-10-03,00:02:30,13.55,12.74,12.92,12.17,11.58,10.78,68,73,76,88,87,91,2.54,0.0,0.0,0.0,0.0,0.0,0.0,22.4,43,0,0,OFF,OFF,ON,0,13.3,78,0,0,OFF,OFF,29.4,29.5,14.41,29.4,15.62,9.0,6.0,74.3,38.0,66.95,14,64,19,16,3,1,OFF,OFF,100,100,7.187,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,409,8.2,60,16,3.874,19,46,3.874,7.2,426,95.2,7.1,82.13259,535468,62,0,14.4,6,0,0.5305,72,20.11,28.14,21.15,95.3,7.5,1.04493,0,46,0,19.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95.3,6.4,26.53155,26515,69,0,14.5,6,400,7.5,58,15.8,3.874,418,7.4,58,15.7,3.874,419,7.2,52,17.1,3.874
2021-10-03,00:03:00,13.55,12.74,12.92,12.17,11.58,10.78,68,73,76,88,87,91,2.54,0.0,0.0,0.0,0.0,0.0,0.0,22.4,43,0,0,OFF,OFF,ON,0,13.3,78,0,0,OFF,OFF,29.4,29.5,14.41,29.4,15.62,9.0,6.0,74.3,38.0,66.95,14,64,19,16,3,1,OFF,OFF,100,100,7.187,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,409,8.2,60,16,3.874,19,46,3.874,7.2,426,95.2,7.1,82.13259,535468,62,0,14.4,6,0,0.5305,72,20.11,28.14,21.15,95.3,7.5,1.04493,0,46,0,19.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95.3,6.4,26.53155,26515,69,0,14.5,6,400,7.5,58,15.8,3.874,418,7.4,58,15.7,3.874,419,7.2,52,17.1,3.874
2021-10-03,00:03:30,13.55,12.74,12.92,12.17,11.58,10.78,68,73,76,88,87,91,2.54,0.0,0.0,0.0,0.0,0.0,0.0,22.4,43,0,0,OFF,OFF,ON,0,13.3,78,0,0,OFF,OFF,29.4,29.5,14.41,29.4,15.62,9.0,6.0,74.3,38.0,66.95,14,64,19,16,3,1,OFF,OFF,100,100,7.187,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,409,8.2,60,16,3.874,19,46,3.874,7.2,426,95.2,7.1,82.13259,535468,62,0,14.4,6,0,0.5305,72,20.11,28.14,21.15,95.3,7.5,1.04493,0,46,0,19.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95.3,6.4,26.53155,26515,69,0,14.5,6,400,7.5,58,15.8,3.874,418,7.4,58,15.7,3.874,419,7.2,52,17.1,3.874
2021-10-03,00:04:00,13.55,12.74,12.92,12.17,11.58,10.78,68,73,76,88,87,91,2.54,0.0,0.0,0.0,0.0,0.0,0.0,22.4,43,0,0,OFF,OFF,ON,0,13.2,78,0,0,OFF,ON,29.4,29.5,14.41,29.4,15.62,9.0,6.0,74.3,38.0,66.95,14,64,19,16,3,1,OFF,OFF,100,100,7.187,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,409,8.2,60,16,3.874,19,46,3.874,7.2,426,95.2,7.1,82.13259,535468,62,0,14.4,6,0,0.5305,72,20.11,28.14,21.15,95.3,7.5,1.04493,0,46,0,19.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95.3,6.4,26.53155,26515,69,0,14.5,6,400,7.5,58,15.8,3.874,418,7.4,58,15.7,3.874,419,7.2,52,17.1,3.874
2021-10-03,00:04:31,13.55,12.74,12.92,12.17,11.58,10.78,68,73,76,88,87,91,2.54,0.0,0.0,0.0,0.0,0.0,0.0,22.4,43,0,0,OFF,OFF,ON,0,13.3,78,0,0,OFF,ON,29.4,29.5,14.41,29.4,15.62,9.0,6.0,74.3,38.0,66.95,14,64,19,16,3,1,OFF,OFF,100,100,7.187,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,409,8.2,60,16,3.874,19,46,3.874,7.2,426,95.2,7.1,82.13259,535468,62,0,14.4,6,0,0.5305,72,20.11,28.14,21.15,95.3,7.5,1.04493,0,46,0,19.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95.3,6.4,26.53155,26515,69,0,14.5,6,400,7.5,58,15.8,3.874,418,7.4,58,15.7,3.874,419,7.2,52,17.1,3.874
2021-10-03,00:05:01,13.55,12.74,12.92,12.17,11.58,10.78,68,73,76,88,87,91,2.54,0.0,0.0,0.0,0.0,0.0,0.0,22.4,43,0,0,OFF,OFF,ON,0,13.2,78,0,0,OFF,ON,29.4,29.5,14.41,29.4,15.62,9.0,6.0,74.3,38.0,66.95,14,64,18.5,16,3,1,OFF,OFF,100,100,7.187,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,409,8.2,60,16,3.874,19,46,3.874,7.2,426,95.2,7.1,82.13259,535468,62,0,14.4,6,0,0.5305,72,20.11,28.14,21.15,95.3,7.5,1.04493,0,46,0,19.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95.3,6.4,26.53155,26515,69,0,14.5,6,400,7.5,58,15.8,3.874,418,7.4,58,15.7,3.874,419,7.2,52,17.1,3.874
